timestamp,model_used,seed,generated_text
2026-04-24 08:07:23,/work/SisselHøjgaardVang-Pedersen#8538/assignments/assignment_03/out/models/taylor_trigram_n3_2026-04-20_14-42.pkl,you,you were romeo i was too young to be messed with the girl in the middle of the night you hear about me and i said all that i can't stop
2026-04-24 08:07:37,/work/SisselHøjgaardVang-Pedersen#8538/assignments/assignment_03/out/models/taylor_trigram_n3_2026-04-20_14-42.pkl,you,you and i said amen asking god if he knows he's all i think about at night he's the reason for the first time first time you think i am finally
2026-04-24 08:08:30,/work/SisselHøjgaardVang-Pedersen#8538/assignments/assignment_03/out/models/taylor_trigram_n3_2026-04-20_14-42.pkl,you,you were never looking down and we pretended it could last forever ey ey we found wonderland you and i don't know what you're doing to me and you might still
2026-04-24 08:08:54,/work/SisselHøjgaardVang-Pedersen#8538/assignments/assignment_03/out/models/taylor_trigram_n3_2026-04-20_14-42.pkl,you,you know i miss you but i know that my greatest triumph in life are free oh oh oh oh ohoh ohoh ohoh ohoh ohoh oh you left me you belong
2026-04-24 08:10:33,/work/SisselHøjgaardVang-Pedersen#8538/assignments/assignment_03/out/models/taylor_trigram_n3_2026-04-20_14-42.pkl,you,you know that my train could take it off i shake it off i shake it off i shake it off take it off i shake it off i shake it
2026-04-24 08:10:44,/work/SisselHøjgaardVang-Pedersen#8538/assignments/assignment_03/out/models/taylor_trigram_n3_2026-04-20_14-42.pkl,you,you and i don't wanna look at me i love you and i don't wanna look at me again even if it was the first to know is i don't know
2026-04-24 08:11:01,/work/SisselHøjgaardVang-Pedersen#8538/assignments/assignment_03/out/models/taylor_trigram_n3_2026-04-20_14-42.pkl,you,you know that it's delicate delicate is it too soon to do is run you'll be the same girl some days will change can you just made me do look what
2026-04-24 08:14:05,/work/SisselHøjgaardVang-Pedersen#8538/assignments/assignment_03/out/models/taylor_trigram_n3_2026-04-20_14-42.pkl,you,you are is not a baller they'd paint me out and take her bright lights the merry go sorry for not making you my temple my mural my sky now i'm
2026-04-24 08:14:16,/work/SisselHøjgaardVang-Pedersen#8538/assignments/assignment_03/out/models/taylor_trigram_n3_2026-04-20_14-42.pkl,you,you to know ya right to and if i'm a mirrorball i'll show you every version of yourself tonight i'll get you alone your name and baby i'm just a dream
2026-04-24 08:15:53,/work/SisselHøjgaardVang-Pedersen#8538/assignments/assignment_03/out/models/taylor_trigram_n3_2026-04-20_14-42.pkl,you,you said you'd beat me up light me up light me up light me up light me up light me up get drunk but it's golden like daylight i only see
2026-04-24 08:16:37,/work/SisselHøjgaardVang-Pedersen#8538/assignments/assignment_03/out/models/taylor_trigram_n3_2026-04-20_14-42.pkl,you,you were someone to hold us back will fall down down in flames you can say is now it's all in me anything you want to everything cant show up here
2026-04-24 08:17:46,/work/SisselHøjgaardVang-Pedersen#8538/assignments/assignment_03/out/models/taylor_trigram_n3_2026-04-20_14-42.pkl,you,you look like a best friend this here nice to have a last kiss i never leave well enough alone and i should i take this chance i'll make myself at
2026-04-24 08:20:23,/work/SisselHøjgaardVang-Pedersen#8538/assignments/assignment_03/out/models/taylor_trigram_n3_2026-04-20_14-42.pkl,you,you only bought this dress so you can don't you let it go let you in you let me drive you're a redneck heartbreak who's really bad at lying so watch
